MASE,RMSSE,WAPE,runout_MAE_days,runout_n,runout_missed,model,fold,seed,cutoff
0.9181628239178806,2.0280352680025358,0.7402005358353378,9.277173913043478,184,20,TSB_0.05_0.1,3,42,2025-05-15
0.9177940916664327,2.0426680448312116,0.740267233006802,10.456521739130435,184,36,TSB_0.05_0.15,3,42,2025-05-15
0.92142317274252,2.0596991201335446,0.7416588579158877,11.271739130434783,184,41,TSB_0.05_0.2,3,42,2025-05-15
0.9340052405283498,2.1018921523917173,0.7469707307798753,12.61413043478261,184,52,TSB_0.05_0.3,3,42,2025-05-15
0.949666277515511,2.154455049995438,0.7547635272890926,13.793478260869565,184,61,TSB_0.05_0.4,3,42,2025-05-15
0.9665603077173498,2.2174668373923434,0.7640477882975685,15.03804347826087,184,70,TSB_0.05_0.5,3,42,2025-05-15
0.9192269920410985,2.0102346552567742,0.7409270556330069,8.097826086956522,184,13,TSB_0.1_0.05,3,42,2025-05-15
0.9112787455367058,2.024164300596383,0.738820592412689,9.456521739130435,184,21,TSB_0.1_0.1,3,42,2025-05-15
0.9104404587432987,2.0378495066217543,0.7383361829453118,10.554347826086957,184,34,TSB_0.1_0.15,3,42,2025-05-15
0.9139257461192288,2.054162265439057,0.7395363243826508,11.418478260869565,184,42,TSB_0.1_0.2,3,42,2025-05-15
0.9268933024267244,2.0954015157419454,0.7451590678455878,12.766304347826088,184,55,TSB_0.1_0.3,3,42,2025-05-15
0.942629442322474,2.147637502234713,0.752987856532574,13.945652173913043,184,63,TSB_0.1_0.4,3,42,2025-05-15
0.9596564411832724,2.2106734057697284,0.7620848820235097,15.21195652173913,184,72,TSB_0.1_0.5,3,42,2025-05-15
0.9188525433687188,2.011895447922316,0.7435033933212966,8.304347826086957,184,14,TSB_0.15_0.05,3,42,2025-05-15
0.9101931397124094,2.0257868242667882,0.7406347254802779,9.722826086956522,184,20,TSB_0.15_0.1,3,42,2025-05-15
0.9090871141317749,2.039564148455755,0.7398905487318286,10.798913043478262,184,35,TSB_0.15_0.15,3,42,2025-05-15
